client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795240.mp3	जब मैं छोटा था मैं हमेशा जल्दी सोकर उठा करता था।	0	2	twenties	male		hi	
c7c4e5ded1e6121c38594d1e3bbb5a49f1d269f96c2591f9e2d4da7cf5c9cdc7598248c5d24452c832160a2503d344167242cafabc1dc3936e1a6065b281ae77	common_voice_hi_23795242.mp3	मुझे इस लड़की से नफ़रत है।	1	2	twenties	male		hi	
f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb	common_voice_hi_23795359.mp3	चाय-वाय कुछ लेंगी आप?	0	2	twenties	male		hi	
f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb	common_voice_hi_23796151.mp3	तकनीकी क्रांति से कारोबार जगत में चुनौतियां, साथ में नए अवसर भी: अरुण पुरी	1	2	twenties	male		hi	
f1b62e5d3473776b945ef79fbad0a46a621fb136b143d7aeb75a7cb854ebe0807524eee04fe8d83b3311152dad97e341e18ed5b8981b3cf322fec4e0700894bb	common_voice_hi_23796153.mp3	अपना खाना खाइए।	0	2	twenties	male		hi	
5ab0560146d657437fcae4b6e7d5249958e24044450040d8f9d944a047695f4636fc116bea6e1c214ac39d3653d976d777d59e9af4b923a1c7fab83eb7b5a6bf	common_voice_hi_23801317.mp3	बंद होने जा रहा है कयामत की रात, ये शो करेगा रिप्लेस	0	2	twenties	male		hi	
5b3872837902e6d95327320c254ce8cc9e7b69e3ad4e2e54f93009f6f44af95a3b2bd03dd9504518ddea0ce1bb0793458ea03d00ccd3c918aba1a0a91476da99	common_voice_hi_23809703.mp3	भारत सुदीरमन कप से हुआ बाहर	0	2	twenties	male		hi	
5b3872837902e6d95327320c254ce8cc9e7b69e3ad4e2e54f93009f6f44af95a3b2bd03dd9504518ddea0ce1bb0793458ea03d00ccd3c918aba1a0a91476da99	common_voice_hi_23809712.mp3	"'सज्जन सिंह रंगरूट' का ट्रेलर रिलीज, फौजी के रोल में दिखेंगे दिलजीत दोसांझ"	0	2	twenties	male		hi	
ae0a0fe60554522906f5f10d702870d8b639c50f99a9ba0d357814bdce5f39421c6e2ac11f10a3e1b2d1bc606b887b6fc12d2b50fa34afe36a725b6191d5ab4b	common_voice_hi_23809915.mp3	हॉकी टीम ने बांधी काली पट्टी तो निशाने पर आई विराट ब्रिगेड	0	2	fourties	female		hi	
ae0a0fe60554522906f5f10d702870d8b639c50f99a9ba0d357814bdce5f39421c6e2ac11f10a3e1b2d1bc606b887b6fc12d2b50fa34afe36a725b6191d5ab4b	common_voice_hi_23809921.mp3	बहुत कम लोग थे जो वहाँ नहीं गए।	1	2	fourties	female		hi	
